_r;_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;objID;f_objID;Qual;e_RAJ2000;e_DEJ2000;Epoch;Ns;Nd;gmag;e_gmag;gKmag;e_gKmag;gFlags;rmag;e_rmag;rKmag;e_rKmag;rFlags;imag;e_imag;iKmag;e_iKmag;iFlags;zmag;e_zmag;zKmag;e_zKmag;zFlags;ymag;e_ymag;yKmag;e_yKmag;yFlags
1.8474;305.97370801;38.50624692;305.97370801;38.50624692;1.54203059736968E+017;503635968;60;0.0197;0.0125;55979.70130787;4;41;21.531;       ;       ;       ;16420;21.6464;0.011;       ;       ;115000;19.8273;0.019;20.135;0.0762;115000;18.8106;0.0227;19.0155;0.008;115000;18.1853;0.0231;18.4482;0.0445;115000
1.8479;305.90467077;38.49396298;305.90467077;38.49396298;1.54193059046393E+017;436527104;52;0.0532;0.0589;55948.86190972;4;10;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;21.1565;0.0125;21.304;0.2421;115000;20.4904;0.0169;       ;       ;115000;19.7311;0.1767;       ;       ;114992
1.8509;305.94115705;38.45618619;305.94115705;38.45618619;1.54143059413088E+017;503635968;60;0.0322;0.027;55477.58296296;2;19;27.295;       ;       ;       ;16420;23.35;       ;       ;       ;16420;20.854;       ;       ;       ;16420;20.261;0.0651;20.2781;0.1107;115000;19.0472;0.116;19.1693;0.1685;115000
1.8523;305.91556115;38.50917977;305.91556115;38.50917977;1.54213059155702E+017;503635968;60;0.0069;0.0093;55959.52459491;5;50;21.3666;0.093;21.3977;0.1086;115000;19.902;0.0516;20.0901;0.0549;115000;19.1026;0.0107;19.253;0.029;115000;18.6433;0.0135;18.8157;0.0158;115000;18.2664;0.0399;18.4454;0.114;115000
1.8556;305.98105968;38.47870486;305.98105968;38.47870486;1.54173059810415E+017;436527104;52;0.0663;0.058;55895.71483796;3;17;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.6168;0.0274;       ;       ;115000;20.3617;0.0925;       ;       ;115000;19.4524;0.0948;19.4066;0.3044;16892216
1.8562;305.98238237;38.48961209;305.98238237;38.48961209;1.54183059823878E+017;436527104;52;0.0419;0.0458;55941.54893519;3;11;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.2375;0.1114;20.6494;0.1514;16892216;20.103;0.1012;20.0592;0.2043;16892216;19.4267;0.0943;       ;       ;115000
1.8573;305.95209158;38.51712688;305.95209158;38.51712688;1.54223059522011E+017;436527104;52;0.0268;0.0334;55873.98819444;3;25;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.0839;0.0486;21.1327;0.0859;115000;20.4452;0.0693;20.3448;0.1505;115000;19.5149;0.0644;19.5996;0.0963;115000
1.8626;305.90696371;38.49996964;305.90696371;38.49996964;1.54203059069301E+017;436527104;52;0.0201;0.0347;55883.83131944;3;31;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.8698;0.0859;21.431;0.2126;115000;19.9594;0.0277;20.1583;0.0739;115000;19.3456;0.0439;19.6514;0.1381;115000
1.8649;305.90785453;38.47254087;305.90785453;38.47254087;1.54163059078528E+017;503635968;60;0.0077;0.0098;55901.7818287;5;42;21.773;0.1822;       ;       ;115000;19.5287;0.0225;19.7535;0.0171;115000;17.9356;0.0145;18.0594;0.0457;115000;16.9278;0.004;16.9902;0.0174;115000;16.234;0.011;16.2854;0.0076;115000
1.8663;305.9185043;38.46251081;305.9185043;38.46251081;1.54153059185406E+017;503635968;60;0.0187;0.0079;55919.33358796;4;30;20.43;       ;       ;       ;16420;21.1423;0.1334;       ;       ;115000;19.6448;0.0063;19.7704;0.0202;115000;18.846;0.026;19.0286;0.0517;115000;18.2927;0.0252;18.5134;0.0415;115000
1.8669;305.97802865;38.47229437;305.97802865;38.47229437;1.54163059780417E+017;444915712;53;0.0414;0.013;56078.28368056;5;43;20.1611;0.0384;19.4618;0.0427;16892216;18.8941;0.0319;18.9334;0.0383;115000;18.0708;0.013;17.5493;0.0812;16892216;17.7116;0.0095;17.6498;0.0386;16892216;17.2115;0.0178;16.1977;0.0392;16892216
1.8688;305.95852708;38.45832345;305.95852708;38.45832345;1.54153059585991E+017;503635968;60;0.0321;0.0525;55727.21738426;4;31;21.2666;0.1201;20.5366;0.1499;16793912;22.034;       ;       ;       ;114724;20.5958;0.0261;       ;       ;115000;19.3744;0.034;19.6316;0.0944;115000;18.6253;0.1199;18.8647;0.1532;115000
1.8694;305.90344226;38.49046807;305.90344226;38.49046807;1.54183059033959E+017;436527104;52;0.015;0.0181;55916.02269676;4;33;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.4948;0.0311;20.665;0.0759;115000;19.5612;0.0272;19.7804;0.0603;115000;19.0717;0.0264;19.1856;0.1228;115000
1.87;305.95732094;38.45791903;305.95732094;38.45791903;1.5415305957288E+017;436363264;52;0.0649;0.0649;55770.1459838;3;5;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.5233;0.0323;21.5428;0.1785;115256;20.8095;0.1838;       ;       ;16892216;       ;       ;       ;       ;114720
1.8707;305.92086527;38.46108043;305.92086527;38.46108043;1.54153059208384E+017;503635968;60;0.0234;0.0407;55231.65310185;4;18;25.204;       ;       ;       ;16420;22.531;       ;       ;       ;114724;21.066;0.0959;21.4843;0.2151;115000;19.9642;0.0759;20.0497;0.0952;115000;19.2664;0.1288;19.1851;0.1288;115000
1.8736;305.91164105;38.50630723;305.91164105;38.50630723;1.54203059116808E+017;436527104;52;0.0107;0.0254;55977.48913194;4;37;        ;       ;       ;       ;16416;21.429;0.0839;21.8371;0.0502;115000;20.4161;0.0246;20.7184;0.0718;115000;19.606;0.0261;19.8253;0.0892;115000;18.9682;0.0712;19.3116;0.0799;115000
1.8784;305.90810189;38.50229856;305.90810189;38.50229856;1.54203059080543E+017;436527104;52;0.0882;0.079;55838.17273148;3;9;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.6341;0.2083;20.4581;0.2286;16892216;20.6305;0.0359;20.6589;0.0442;115000;19.9037;0.1955;       ;       ;114992
1.88;305.90298775;38.48605036;305.90298775;38.48605036;1.54183059030554E+017;436281344;52;0.0813;0.0813;55644.37225694;3;4;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.9232;0.1967;       ;       ;115000;20.9167;0.0323;21.1938;0.0029;115000;       ;       ;       ;       ;114720
1.881;305.91712001;38.46307595;305.91712001;38.46307595;1.54153059172186E+017;436527104;52;0.0346;0.0378;56017.06715278;3;16;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.3228;0.1143;21.8137;0.2793;115000;20.3543;0.0201;20.2323;0.1149;115000;19.5967;0.1345;       ;       ;115000
1.8811;305.93411378;38.51757063;305.93411378;38.51757063;1.54223059341362E+017;436527104;52;0.0488;0.0501;55688.51818287;3;14;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.5935;0.3266;20.8155;0.2317;115000;20.5962;0.0596;20.6884;0.1108;115000;19.5329;0.0783;       ;       ;115000
1.8841;305.96529651;38.51310713;305.96529651;38.51310713;1.54213059652746E+017;503635968;60;0.0162;0.024;55811.95627315;4;44;21.94;       ;       ;       ;16420;20.9451;0.0343;21.1381;0.1249;115000;19.6002;0.0286;19.8119;0.0464;115000;18.7414;0.0145;18.9282;0.0328;115000;18.1605;0.0194;18.5007;0.053;115000
1.8853;305.97759922;38.50293717;305.97759922;38.50293717;1.54203059776474E+017;436527104;52;0.0138;0.028;56033.22866898;4;37;        ;       ;       ;       ;16416;21.3843;0.0091;       ;       ;115000;19.8582;0.0204;20.1334;0.0358;115000;19.2929;0.0701;19.4852;0.1192;115000;18.9545;0.0649;19.1561;0.2573;115000
1.8937;305.98182473;38.49552662;305.98182473;38.49552662;1.54193059818185E+017;436281344;52;0.1058;0.1058;55891.85018519;2;3;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.5082;0.1897;21.0148;0.2414;115256;20.6392;0.1994;       ;       ;115000;       ;       ;       ;       ;16416
1.8954;305.93213225;38.4565781;305.93213225;38.4565781;1.54143059321449E+017;503635968;60;0.0156;0.0115;56000.7975463;5;50;20.2323;0.0123;20.4327;0.0477;115000;18.4026;0.0062;18.5141;0.007;115000;17.3145;0.0004;17.4264;0.0105;115000;16.6146;0.0071;16.7132;0.0087;115000;16.0667;0.0064;16.1634;0.0129;115000
1.8961;305.97959184;38.50035678;305.97959184;38.50035678;1.54203059795421E+017;503635968;60;0.0139;0.021;55925.27447917;3;37;25.892;       ;       ;       ;16420;22.4251;0.454;       ;       ;20536;20.0456;0.0272;20.2762;0.0728;115000;19.1508;0.0378;19.3815;0.0917;115000;18.6554;0.0313;19.033;0.0776;115000
1.8981;305.95928812;38.51595383;305.95928812;38.51595383;1.542130595931E+017;503635968;60;0.0275;0.0199;55599.34084491;3;30;26.652;       ;       ;       ;16420;22.708;       ;       ;       ;16420;21.2571;0.0758;21.2283;0.2277;115000;19.537;0.0182;19.7002;0.0426;115000;18.2315;0.0332;18.506;0.0984;115000
1.8998;305.95276412;38.45627329;305.95276412;38.45627329;1.54143059527938E+017;503635968;60;0.0506;0.0201;55630.95041667;3;18;27.743;       ;       ;       ;16420;23.926;       ;       ;       ;16420;21.3029;0.1181;21.7847;0.271;115768;19.8059;0.0264;19.9929;0.0369;115000;18.6175;0.0657;18.7941;0.0437;115000
1.9045;305.91399204;38.46482376;305.91399204;38.46482376;1.54153059141808E+017;436363264;52;0.0669;0.0669;55603.88547454;3;5;21.397;0.1228;20.2222;0.1012;16794168;       ;       ;       ;       ;16416;21.7685;0.178;       ;       ;115000;20.6843;0.1308;20.4572;0.2069;115000;       ;       ;       ;       ;114720
1.9059;305.95530444;38.51727074;305.95530444;38.51727074;1.54223059552681E+017;503635968;60;0.0352;0.0341;55278.03186343;3;17;28.409;       ;       ;       ;16420;24.475;       ;       ;       ;16420;21.746;       ;       ;       ;114724;20.5031;0.0581;20.6605;0.0989;115000;19.2007;0.0813;19.4966;0.0822;115000
1.9113;305.9830041;38.48116056;305.9830041;38.48116056;1.54173059829638E+017;436527104;52;0.0218;0.035;56060.46702546;3;24;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.9444;0.0821;20.9897;0.1007;16892216;19.9698;0.0621;20.1181;0.3257;115000;19.1954;0.0999;18.0747;0.3181;115000
1.9123;305.92770729;38.45746245;305.92770729;38.45746245;1.5414305927705E+017;436527104;52;0.0517;0.0552;56063.91798611;4;8;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;21.5625;0.1716;       ;       ;115000;20.5201;0.1474;20.2965;0.1221;115000;19.8113;0.0296;       ;       ;115000
1.9232;305.94034237;38.45501439;305.94034237;38.45501439;1.54143059403347E+017;436527104;52;0.0218;0.0214;55929.8153125;4;25;        ;       ;       ;       ;16416;21.4576;0.1701;       ;       ;115000;20.765;0.0213;21.1704;0.0436;115000;19.8679;0.0402;19.9335;0.0523;115000;19.0698;0.0933;       ;       ;115000
1.9286;305.98230675;38.47770249;305.98230675;38.47770249;1.54173059821534E+017;503635968;60;0.0315;0.03;55557.49164352;3;23;27.606;       ;       ;       ;16420;23.743;       ;       ;       ;16420;21.7543;0.1779;       ;       ;16892216;20.3545;0.0733;20.336;0.2622;115000;18.7223;0.052;18.5823;0.1275;115000
1.9306;305.93364331;38.45566879;305.93364331;38.45566879;1.54143059337637E+017;436281344;52;0.0823;0.0823;56204.1278588;1;3;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.5773;0.1484;21.5909;0.2381;16952;21.0806;0.1719;       ;       ;115000;19.1678;0.1194;19.121;0.2328;16794168
1.9321;305.92073211;38.45992556;305.92073211;38.45992556;1.54153059207593E+017;503635968;60;0.006;0.0099;56005.43690972;5;38;21.715;0.0808;21.5674;0.3289;115000;19.7383;0.009;19.9156;0.013;115000;18.639;0.0143;18.5941;0.0216;16892216;17.8987;0.0209;17.9161;0.0355;115000;17.3943;0.0185;17.2952;0.0434;16892216
1.9348;305.96103003;38.51599594;305.96103003;38.51599594;1.5421305961053E+017;436527104;52;0.0217;0.0234;55769.96570602;3;32;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.6968;0.0378;20.847;0.1254;115000;19.4208;0.0338;19.5799;0.0553;115000;18.5921;0.0313;18.7371;0.0773;115000
1.9361;305.90274899;38.49397483;305.90274899;38.49397483;1.54193059027143E+017;436527104;52;0.0354;0.058;55911.62146991;4;17;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;21.4224;0.0643;21.6426;0.104;115000;20.339;0.0992;20.5138;0.0563;115000;19.7235;0.0821;       ;       ;115000
1.9395;305.92397893;38.45830988;305.92397893;38.45830988;1.54153059238941E+017;436527104;52;0.0298;0.04;56076.4616088;4;17;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.886;0.0219;21.1329;0.2218;115000;20.1705;0.054;20.2243;0.1138;115000;19.4335;0.0171;       ;       ;16892216
1.9412;305.98069282;38.50028343;305.98069282;38.50028343;1.54203059807551E+017;436527104;52;0.0579;0.0696;56195.39886574;3;11;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.443;0.1656;       ;       ;115000;20.2007;0.1363;       ;       ;115000;19.6522;0.2196;19.5609;0.2722;115000
1.9416;305.94358987;38.51935735;305.94358987;38.51935735;1.54223059436014E+017;377806848;45;0.0284;0.1051;55457.94690972;0;5;23.208;       ;       ;       ;4;21.038;       ;       ;       ;4;19.375;0.0036;       ;       ;16777496;18.6667;0.0239;18.7213;0.0347;16777496;17.8775;0.0372;17.474;0.0454;16777752
1.9512;305.98441035;38.48963014;305.98441035;38.48963014;1.54183059844908E+017;436527104;52;0.0469;0.0347;55897.45780093;3;33;        ;       ;       ;       ;16416;21.5175;0.2853;       ;       ;16688;20.8706;0.0252;21.4666;0.0284;115000;19.6493;0.0418;19.9475;0.0749;115000;19.0149;0.0497;19.103;0.176;115000
1.9537;305.92135024;38.45919836;305.92135024;38.45919836;1.54153059213902E+017;444915712;53;0.017;0.0303;56085.28726852;5;30;21.7929;0.1576;21.7656;0.1958;115000;20.1838;0.0135;20.1989;0.0441;115000;19.2317;0.0244;19.1757;0.0641;115000;18.6998;0.0163;18.5907;0.0529;16892216;18.3572;0.0292;18.2111;0.1137;16892216
1.96;305.97895339;38.47041824;305.97895339;38.47041824;1.54163059789565E+017;503635968;60;0.0072;0.0283;55818.86126157;5;47;17.1774;0.0065;16.8895;0.0067;115000;16.1026;0.0062;15.9826;0.0153;115000;15.5677;0.0061;15.3105;0.0715;115000;15.2359;0.0024;15.3765;0.0415;115000;14.9439;0.012;14.6229;0.2044;115000
1.9601;305.95840584;38.45664054;305.95840584;38.45664054;1.54143059584229E+017;436527104;52;0.0422;0.0767;55745.27982639;5;52;21.5314;0.0525;21.5389;0.0994;115000;20.0478;0.0378;20.2058;0.051;16892216;19.2183;0.0128;19.378;0.039;115000;18.7472;0.0149;18.9706;0.0303;115000;18.4802;0.0167;18.7289;0.0559;115000
1.9628;305.95158009;38.45498393;305.95158009;38.45498393;1.54143059515857E+017;503635968;60;0.0078;0.0125;55833.58336806;5;51;20.3644;0.0171;20.579;0.0253;115000;17.6971;0.0046;17.8128;0.0041;115000;16.1849;0.0006;16.2371;0.0133;115000;15.1754;0.0041;15.249;0.0027;115000;14.4937;0.0041;14.5688;0.0099;115000
1.9649;305.96667283;38.51400484;305.96667283;38.51400484;1.54213059667117E+017;436527104;52;0.0296;0.0396;55803.04185185;4;23;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;21.3957;0.0527;21.184;0.2054;115000;20.2766;0.0814;       ;       ;115000;19.5267;0.0973;19.3816;0.0128;115000
1.9657;305.9447393;38.45426706;305.9447393;38.45426706;1.54143059447266E+017;436527104;52;0.0436;0.045;56002.55418981;3;12;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.454;0.1335;       ;       ;115000;20.6233;0.0526;20.3899;0.1517;115000;19.4823;0.0777;19.457;0.2938;115000
1.9693;305.98489253;38.4884338;305.98489253;38.4884338;1.54183059848387E+017;436527104;52;0.047;0.0395;55929.52309028;3;27;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.0676;0.038;21.3396;0.094;115000;19.8787;0.0463;19.9429;0.1626;115000;19.1974;0.0571;19.0035;0.1073;115000
1.9715;305.97932633;38.5034727;305.97932633;38.5034727;1.54203059793195E+017;503635968;60;0.0067;0.0265;55936.99854167;5;53;20.407;0.028;20.632;0.0338;115000;18.9744;0.0148;19.215;0.0105;115000;18.16;0.0051;18.2994;0.0091;115000;17.7148;0.015;17.8741;0.0128;115000;17.4741;0.0225;17.7252;0.0156;115000
1.9758;305.90721502;38.50432019;305.90721502;38.50432019;1.54203059072266E+017;503635968;60;0.0041;0.011;56001.67763889;5;60;19.5032;0.008;19.6181;0.0151;115000;18.2323;0.0068;18.338;0.0115;115000;17.5989;0.0021;17.7048;0.003;115000;17.2219;0.0067;17.3402;0.0097;115000;16.956;0.0085;17.0996;0.0258;115000
1.9817;305.97584265;38.50774046;305.97584265;38.50774046;1.5420305975874E+017;503635968;60;0.0227;0.0196;55332.83609954;2;25;26.673;       ;       ;       ;16420;22.729;       ;       ;       ;16420;20.231;       ;       ;       ;16420;20.0911;0.0548;20.3718;0.0449;115000;18.7048;0.0214;19.0256;0.0533;115000
1.9852;305.98525398;38.48790082;305.98525398;38.48790082;1.54183059853316E+017;436363264;52;0.06;0.06;55514.55982639;1;5;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.6763;0.1659;       ;       ;16696;20.2835;0.0881;20.3312;0.1408;115000;19.3499;0.0741;18.6743;0.0136;16793912
1.9854;305.96874533;38.46075741;305.96874533;38.46075741;1.54153059687324E+017;436527104;52;0.0171;0.0386;55666.71571759;4;22;        ;       ;       ;       ;16416;21.2584;0.14;20.5742;0.1598;16892216;20.0083;0.0017;20.5415;0.2165;16892216;19.0759;0.0213;19.2034;0.0915;115000;18.2752;0.0633;18.4473;0.1009;115000
1.9866;305.91559784;38.51222748;305.91559784;38.51222748;1.54213059156065E+017;503635968;60;0.0165;0.0194;56013.74292824;5;56;19.4623;0.0105;19.5879;0.017;115000;18.1039;0.0048;18.2285;0.0113;115000;17.3781;0.0036;17.4853;0.0059;115000;16.9299;0.0061;17.0378;0.0025;115000;16.6594;0.0055;16.7894;0.0109;115000
1.989;305.93574985;38.51966109;305.93574985;38.51966109;1.54223059357874E+017;503635968;60;0.0094;0.018;55803.24141204;5;51;21.7941;0.0587;21.8455;0.2448;115000;19.8824;0.0155;19.8969;0.0319;115000;18.6845;0.0383;18.711;0.0138;16892216;17.8672;0.0112;17.9942;0.0128;115000;17.3346;0.0151;17.4772;0.0391;115000
1.9926;305.90066807;38.48477413;305.90066807;38.48477413;1.54183059006552E+017;436527104;52;0.0582;0.0626;55629.98347222;3;11;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.6758;0.1239;20.5843;0.306;115000;19.6354;0.0873;19.7038;0.2246;115000
1.9956;305.98387462;38.4960945;305.98387462;38.4960945;1.54193059838116E+017;503635968;60;0.095;0.0174;56035.42309028;4;41;23.097;       ;       ;       ;16420;20.6232;0.0806;20.9085;0.1616;115000;18.9813;0.0183;19.1767;0.0274;115000;18.1529;0.0226;18.3421;0.0507;115000;17.5976;0.0112;17.7634;0.0393;115000
1.9958;305.91628476;38.46113544;305.91628476;38.46113544;1.54153059162854E+017;436527104;52;0.0374;0.0435;55963.87204861;3;14;        ;       ;       ;       ;16416;21.9529;0.1621;       ;       ;16794168;21.2102;0.0937;21.2582;0.2755;115000;20.5051;0.0504;20.6157;0.1269;115000;19.4861;0.1382;19.9561;0.1787;115000
1.9974;305.93869137;38.52011943;305.93869137;38.52011943;1.54223059387055E+017;503635968;60;0.0074;0.0127;55823.50710648;5;47;21.6261;0.0134;21.1418;0.0165;16892472;19.8619;0.0286;19.9719;0.0446;115000;18.8664;0.0132;18.9739;0.0122;115000;18.2014;0.0119;18.4142;0.0572;115000;17.685;0.0206;17.577;0.0402;115000
1.9975;305.95863536;38.51796226;305.95863536;38.51796226;1.54223059586892E+017;436363264;52;0.0723;0.0723;55776.06145833;3;5;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.4538;0.1972;       ;       ;115000;20.798;0.0427;20.9882;0.2481;115000;       ;       ;       ;       ;114720
2.0011;305.96441649;38.5158342;305.96441649;38.5158342;1.5421305964421E+017;436527104;52;0.0253;0.0455;55840.58209491;3;31;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.7085;0.1117;20.2125;0.1954;115000;20.0592;0.0616;20.3106;0.0483;115000;19.5135;0.0381;       ;       ;115000
2.0015;305.90086199;38.48201692;305.90086199;38.48201692;1.54173059008359E+017;503635968;60;0.0139;0.0138;55889.27920139;5;53;21.9281;0.0276;22.0599;0.1771;115000;20.2596;0.0325;20.4966;0.0581;115000;19.1548;0.017;19.2974;0.0257;115000;18.532;0.0152;18.7011;0.0128;115000;18.2801;0.0392;18.4457;0.0227;115000
2.008;305.90250667;38.47626322;305.90250667;38.47626322;1.54173059025052E+017;436363264;52;0.0875;0.0875;55815.75318287;3;4;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.8951;0.1292;21.2211;0.3053;115000;19.889;0.1899;       ;       ;114992
2.0086;305.93102484;38.51913754;305.93102484;38.51913754;1.54223059309504E+017;503635968;60;0.0112;0.0161;55808.39746528;4;44;19.836;       ;       ;       ;16420;20.9339;0.032;21.1376;0.0774;115000;19.7161;0.0183;19.9015;0.0451;115000;18.8913;0.0234;19.088;0.0455;115000;18.3339;0.0159;18.6624;0.0283;115000
2.0089;305.90528526;38.502802;305.90528526;38.502802;1.54203059052644E+017;436527104;52;0.0196;0.0263;55965.33346065;4;32;        ;       ;       ;       ;16416;21.424;0.1163;21.8716;0.2553;115256;20.6785;0.0349;20.9797;0.0997;115000;19.9695;0.0266;20.3739;0.1152;115000;19.4092;0.0575;19.6049;0.1438;115000
2.0101;305.98567186;38.48441144;305.98567186;38.48441144;1.54183059856422E+017;436527104;52;0.0256;0.0357;55888.07944444;4;26;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.7875;0.0605;20.7983;0.1055;16892216;19.9226;0.0193;20.0176;0.0258;115000;19.0904;0.082;18.7774;0.1039;115000
2.0114;305.91940837;38.45902377;305.91940837;38.45902377;1.54153059194451E+017;436363264;52;0.0625;0.0625;55955.30711806;3;6;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;114720;20.6363;0.075;21.1263;0.1756;115000;19.761;0.0061;19.8986;0.0844;115248
2.012;305.98105549;38.47160759;305.98105549;38.47160759;1.54163059810997E+017;310534144;37;0.0366;0.0366;56012.37990741;0;4;        ;       ;       ;       ;0;       ;       ;       ;       ;0;20.5652;0.0615;20.103;0.1004;16778264;19.3447;0.0516;16.9875;0.0199;16778264;18.6177;0.0819;17.1704;0.0594;16777496
2.0157;305.95681121;38.51880856;305.95681121;38.51880856;1.54223059568173E+017;436527104;52;0.0183;0.027;55893.16773148;4;33;        ;       ;       ;       ;16416;21.3896;0.1232;21.7691;0.2647;115000;20.3181;0.0386;20.5313;0.0447;115000;19.4923;0.0437;19.6533;0.0762;115000;18.7874;0.0443;19.0615;0.0856;115000
2.023;305.92104222;38.45799448;305.92104222;38.45799448;1.5415305921007E+017;503635968;60;0.0676;0.0526;53710.93416667;2;5;28.416;       ;       ;       ;16420;24.569;       ;       ;       ;16420;21.902;       ;       ;       ;16420;20.9907;0.1569;21.1936;0.3012;115000;19.415;0.0988;19.2808;0.0969;115000
2.0252;305.90452484;38.47176649;305.90452484;38.47176649;1.54163059045287E+017;503635968;60;0.0117;0.0083;55922.2800463;5;55;17.9853;0.0049;18.0804;0.0058;115000;16.6447;0.004;16.7475;0.003;115000;15.8634;0.0042;15.9284;0.0053;115000;15.3584;0.004;15.4092;0.011;115000;14.9456;0.0037;15.0043;0.0041;115000
2.026;305.97580523;38.46507654;305.97580523;38.46507654;1.54153059758249E+017;637853696;76;0.0359;0.0117;55819.86255787;4;24;17.197;       ;       ;       ;16420;17.6339;0.0077;15.4814;0;16843064;16.5192;0.0059;       ;       ;115768;15.6523;0.0135;15.9116;0;16696;14.9418;0.0071;14.1512;0.0496;16793912
2.0263;305.93340358;38.51992592;305.93340358;38.51992592;1.54223059334045E+017;503635968;60;0.0098;0.0134;55818.38212963;5;60;18.3565;0.0106;18.431;0.0086;115000;17.1676;0.0055;17.1818;0.0101;115000;16.4779;0.0118;16.5369;0.0042;115000;16.0497;0.005;16.1052;0.0076;115000;15.7672;0.0035;15.7916;0.0096;115000
2.0268;305.92449287;38.51751663;305.92449287;38.51751663;1.54223059244291E+017;436363264;52;0.0216;0.0216;56480.84614583;3;6;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.7469;0.0541;21.8427;0.1275;115000;20.8301;0.1794;       ;       ;115000;19.5593;0.0213;19.343;0.2081;115000
2.0275;305.90053637;38.49310191;305.90053637;38.49310191;1.54193059005472E+017;436527104;52;0.0338;0.0402;55902.17534722;4;31;        ;       ;       ;       ;16416;       ;       ;       ;       ;114720;21.0955;0.0237;21.2548;0.0757;115000;19.9522;0.031;20.0187;0.1041;115000;19.4885;0.0265;19.6433;0.057;115000
2.0279;305.96359251;38.45729454;305.96359251;38.45729454;1.54143059636549E+017;503635968;60;0.032;0.0439;55718.11577546;4;36;20.687;       ;       ;       ;16420;20.8782;0.1004;20.7876;0.1429;115000;19.6558;0.0088;19.8175;0.0277;16892216;18.6794;0.0222;18.7927;0.0434;115000;18.0512;0.0553;18.3546;0.1544;115000
2.0325;305.9858901;38.49152539;305.9858901;38.49152539;1.54193059859441E+017;1375887360;164;0.0835;0.0835;55887.26959491;3;5;        ;       ;       ;       ;16416;21.8115;0.2181;       ;       ;16797752;21.4118;0.1935;21.6311;0.332;16892216;21.1618;0.1932;       ;       ;115000;       ;       ;       ;       ;114720
2.0333;305.9862452;38.485403;305.9862452;38.485403;1.54183059863063E+017;436527104;52;0.0358;0.0647;56037.7944213;3;17;21.8936;0.2668;       ;       ;20536;       ;       ;       ;       ;16416;21.0112;0.0801;20.2643;0;115000;20.2917;0.0959;20.0269;0.0745;115000;19.684;0.0367;       ;       ;115000
2.0344;305.90078889;38.4946194;305.90078889;38.4946194;1.54193059007904E+017;503635968;60;0.0076;0.0267;55852.35077546;5;48;22.1656;0.184;       ;       ;115000;20.6669;0.041;20.9645;0.0731;115000;19.496;0.0219;19.6507;0.0547;115000;18.8113;0.0149;19.0065;0.0348;115000;18.3328;0.0273;18.561;0.0257;115000
2.0393;305.89957992;38.4872266;305.89957992;38.4872266;1.54183058996415E+017;436527104;52;0.0309;0.0345;55853.11118056;3;21;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.4589;0.0761;21.2686;0.2381;115000;20.2966;0.0482;20.5329;0.1057;115000;19.5261;0.1128;       ;       ;115000
2.0408;305.9860963;38.48265728;305.9860963;38.48265728;1.5417305986066E+017;503635968;60;0.0196;0.0207;55779.03532407;3;28;25.444;       ;       ;       ;16420;22.731;       ;       ;       ;16420;21.2941;0.1566;20.5572;0.1997;16892216;19.8552;0.0558;19.9023;0.1249;115000;18.8608;0.0574;19.0224;0.1221;115000
2.0431;305.92826434;38.45496309;305.92826434;38.45496309;1.54143059285357E+017;436527104;52;0.0582;0.0501;56121.53898148;4;12;        ;       ;       ;       ;16416;22.0958;0.1952;       ;       ;115000;21.3109;0.1375;21.5851;0.2761;115000;20.4254;0.1133;20.2335;0.2088;115000;19.6564;0.0419;       ;       ;16892216
