_r;_RAJ2000;_DEJ2000;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;FG;e_FG;Gmag;e_Gmag;FBP;e_FBP;BPmag;e_BPmag;FRP;e_FRP;RPmag;e_RPmag;BP-RP;RVDR2;e_RVDR2;Tefftemp;loggtemp;PS1;SDSSDR13;SkyMapper2;URAT1;GmagCorr;e_GmagCorr;FGCorr;RAJ2000;DEJ2000
2.1062;305.907173964041;38.4659355572362;305.90715460207;0.0196;38.46590961946;0.0216;2.06113024244138E+018;0.5776;0.0261;6.76;-3.411;0.027;-5.836;0.029;1.007;10234;4.1051;15.662275;0.00279;3317;12.705;16.536673;0.005008;10122;13.983;14.734688;0.004066;1.801985;       ;     ;      ;    ;1.5415305907163E+017;                   ;         ;643418415;15.662275;0.00279;10234;305.90717396307;38.46593555785
2.1063;305.964998433809;38.4564227753229;305.9649791652;0.4688;38.45640217088;0.5396;2.06112934908835E+018;-1.2571;0.6333;5.746;-3.395;0.736;-4.636;0.929;1.126;137.69;1.0415;20.340117;0.008663;32.238;5.085;21.56761;0.171279;310.94;9.31;18.5162;0.032727;3.051411;       ;     ;      ;    ;                  ;                   ;         ;         ;20.314526;0.008481;140.97;305.96499843279;38.45642277711
2.1066;305.979265344155;38.4663492793817;305.97924590828;0.0082;38.46632290605;0.0092;2.06112972704527E+018;0.5384;0.0109;6.851;-3.424;0.011;-5.934;0.012;0.987;4345600;1370.8;9.092234;0.002777;2091500;1797.2;9.537418;0.002942;3264800;1920.2;8.463245;0.003833;1.074173;       ;     ;      ;    ;                  ;                   ;         ;643418736;9.092234;0.002777;4345600;305.97926534642;38.46634927866
2.1069;305.969129178281;38.5155819421911;305.96911316567;0.1564;38.51555495997;0.1709;2.0611308952764E+018;0.5618;0.2086;6.694;-2.819;0.212;-6.071;0.221;0.961;395.22;0.89634;19.195265;0.003695;92.878;5.8592;20.418762;0.068551;410.73;5.9694;18.214018;0.016226;2.204744;       ;     ;      ;    ;1.54213059690899E+017;                   ;         ;643418691;19.195265;0.003695;395.22;305.96912918106;38.51558194212
2.1131;305.924146651551;38.5189871155758;305.92411126763;0.1759;38.51896688447;0.1916;2.06113102841455E+018;1.0571;0.2327;7.715;-6.229;0.234;-4.552;0.238;1.173;394.25;0.96348;19.197939;0.003825;105.8;5.0516;20.277342;0.051916;440.58;6.7822;18.137825;0.017135;2.139517;       ;     ;      ;    ;1.54223059241203E+017;                   ;         ;643418499;19.197939;0.003825;394.25;305.92414665395;38.51898711504
2.1136;305.924600223363;38.454916947488;305.92454968334;0.31;38.45487149861;0.3439;2.06112948652734E+018;-0.0998;0.4158;13.559;-8.905;0.433;-10.226;0.465;1.068;193.25;0.73855;19.972054;0.004981;32.065;4.6865;21.57345;0.158711;254.63;6.1555;18.73314;0.026518;2.840309;       ;     ;      ;    ;1.54143059245516E+017;                   ;         ;         ;19.948778;0.004908;197.44;305.9246002231;38.45491694527
2.1157;305.970346897046;38.5150488911246;305.970332191;0.3428;38.51503221557;0.4104;2.06113013935873E+018;-0.4067;0.4899;4.559;-2.589;0.491;-3.752;0.593;1.013;159.25;0.83909;20.18215;0.00635;48.916;7.054;21.114923;0.156596;181.51;7.171;19.100632;0.04306;2.014292;       ;     ;      ;    ;1.54213059703259E+017;                   ;         ;         ;20.17309;0.006307;160.59;305.97034689974;38.51504889204
2.1158;305.96226710755;38.5189042251745;305.96225121349;0.9217;38.51888350962;1.0558;2.06113078789888E+018;3.2667;1.4253;5.436;-2.798;1.408;-4.661;1.973;1.125;90.317;1.0977;20.797937;0.01348;18.541;4.2965;22.168196;0.251606;126.25;11.715;19.49482;0.100818;2.673376;       ;     ;      ;    ;1.54223059622493E+017;                   ;         ;         ;20.777326;0.013237;92.048;305.96226710932;38.5189042249
2.1174;305.959062957212;38.4540474164496;305.95904414327;0.0343;38.45402094534;0.0389;2.06112931472841E+018;0.5824;0.0458;6.816;-3.315;0.047;-5.956;0.049;0.979;3650.8;1.9974;16.781395;0.002819;1199.1;7.454;17.641418;0.007303;3577;7.1204;15.864102;0.004354;1.777316;       ;     ;      ;    ;1.54143059590545E+017;                   ;         ;643418647;16.781395;0.002819;3650.8;305.95906295892;38.45404741488
2.1219;305.95003241469;38.45206675276;305.95003241469;1.5207;38.45206675276;1.8435;2.06112952088345E+018;          ;       ;         ;         ;      ;         ;      ;        ;76.977;1.2652;20.971462;0.018056;13.362;3.869;22.52388;0.314392;89.753;10.635;19.865274;0.128709;2.658606;       ;     ;      ;    ;1.54143059501173E+017;                   ;         ;         ;20.971462;0.018056;76.977;305.95003241469;38.45206675276
2.1248;305.89799221508;38.49061358165;305.89799221508;2.1528;38.49061358165;2.896;2.06113051731589E+018;          ;       ;         ;         ;      ;         ;      ;        ;72.151;1.8901;21.04176;0.028576;           ;           ;         ;         ;94.358;14.893;19.810953;0.171409;         ;       ;     ;      ;    ;1.54183058980169E+017;                   ;         ;         ;21.04176;0.028576;72.151;305.89799221508;38.49061358165
2.1272;305.909522097148;38.5108921813166;305.90951834843;0.1236;38.51088139465;0.1378;2.06113065045741E+018;0.5991;0.162;2.515;-0.66;0.165;-2.427;0.182;0.984;504.13;0.88737;18.931013;0.003353;134.01;6.5245;20.020708;0.052935;525.86;6.1438;17.94573;0.013236;2.074978;       ;     ;      ;    ;1.54213059095174E+017;                   ;         ;643418432;18.931013;0.003353;504.13;305.90952209804;38.51089218005
2.1339;305.901584323866;38.5016218082558;305.90156293053;0.4947;38.50159759048;0.5421;2.06113062039557E+018;-0.5776;0.64;6.624;-3.767;0.691;-5.449;0.778;1.066;116.69;0.74103;20.519764;0.007425;42.562;8.0695;21.265987;0.205868;136.52;16.022;19.409918;0.127478;1.85607;       ;     ;      ;    ;1.54203059015393E+017;                   ;         ;         ;20.513378;0.007387;117.38;305.90158432257;38.50162180969
2.1392;305.984585581274;38.5015831500522;305.98456947523;0.0797;38.50158265672;0.0912;2.06113007064583E+018;0.2421;0.1063;2.838;-2.836;0.105;-0.111;0.122;1.189;1371.5;2.131;17.84439;0.003231;384.82;11.555;18.875399;0.03272;1551.9;9.9863;16.770765;0.007943;2.104633;       ;     ;      ;    ;1.54203059845773E+017;                   ;         ;643418760;17.833751;0.003222;1385;305.98458557984;38.50158315113
2.1407;305.97133849478;38.5149388297139;305.97135807441;0.0975;38.51493623416;0.1016;2.06113013506134E+018;1.3442;0.1249;3.496;3.447;0.126;-0.584;0.141;1.002;882.73;1.5693;18.322796;0.003364;213.63;6.5793;19.514404;0.033555;1006;12.818;17.241346;0.01434;2.273058;       ;     ;      ;    ;1.54213059713269E+017;                   ;         ;643418703;18.309163;0.00335;893.88;305.97133849753;38.51493882809
2.1408;305.901066674946;38.5009984141191;305.90103508782;0.2964;38.50093856079;0.3254;2.06113061609935E+018;1.2368;0.417;14.57;-5.562;0.409;-13.467;0.415;1.031;192.68;0.71587;19.975304;0.004885;35.093;4.2462;21.475489;0.1314;234.86;7.0326;18.820856;0.03273;2.654633;       ;     ;      ;    ;1.54203059010662E+017;                   ;         ;         ;19.955005;0.004824;196.31;305.90106667599;38.50099841415
2.1692;305.927761537026;38.5211531537105;305.9277412513;0.3622;38.52112397149;0.4169;2.06113102841559E+018;0.5435;0.4888;7.474;-3.571;0.525;-6.566;0.637;1.016;159.73;0.78491;20.17889;0.006005;36.835;6.7719;21.422894;0.199626;221.5;6.4744;18.884485;0.031961;2.538408;       ;     ;      ;    ;1.54223059277366E+017;                   ;         ;         ;20.160568;0.005926;162.45;305.92776153513;38.52115315496
2.1813;305.91274440307;38.51458703129;305.91274440307;4.3661;38.51458703129;4.7547;2.06113065475662E+018;          ;       ;         ;         ;      ;         ;      ;        ;68.697;2.5197;21.095022;0.039918;49.483;3.5838;21.102406;0.078684;60.323;16.377;20.296682;0.29479;0.805723;       ;     ;      ;    ;1.54213059128118E+017;                   ;         ;         ;21.095022;0.039918;68.697;305.91274440307;38.51458703129
2.1823;305.901898402826;38.4700915638127;305.90187791576;0.0307;38.47007115937;0.0338;2.06113031116087E+018;0.614;0.0403;5.84;-3.609;0.042;-4.591;0.042;1.347;7184.3;4.4019;16.046408;0.002834;2804.5;14.271;16.71891;0.006189;6667.2;10.385;15.188031;0.004141;1.530879;       ;     ;      ;    ;1.54163059018835E+017;                   ;         ;643418391;16.046408;0.002834;7184.3;305.90189840483;38.47009156525
2.1841;305.935925637661;38.4510688746276;305.93591882179;0.0365;38.45102305685;0.0404;2.06112941780764E+018;0.6587;0.0487;10.378;-1.201;0.048;-10.309;0.05;0.988;3328.6;1.8014;16.881725;0.002817;973.56;8.0312;17.867636;0.009381;3466.2;8.6295;15.898247;0.004647;1.969389;       ;     ;      ;    ;1.54143059359262E+017;                   ;         ;643418549;16.881725;0.002817;3328.6;305.93592563937;38.45106887338
2.1848;305.896548839607;38.4854290260101;305.8965267016;0.073;38.48539008379;0.0805;2.06113051731931E+018;0.7907;0.0975;9.591;-3.899;0.101;-8.762;0.109;1.06;1147.7;1.2252;18.037767;0.002989;342.86;5.3072;19.000767;0.017037;1176.7;7.6893;17.071243;0.008039;1.929524;       ;     ;      ;    ;1.54183058965233E+017;                   ;         ;643418368;18.037767;0.002989;1147.7;305.89654884212;38.48542902616
2.185;305.956374782881;38.4521395281274;305.95635595241;0.1441;38.45211679924;0.1624;2.06112931042749E+018;0.4471;0.1913;6.096;-3.318;0.198;-5.114;0.221;0.995;397.53;0.85736;19.188953;0.003616;66.394;4.2811;20.783213;0.070063;516.05;5.1884;17.966164;0.011552;2.817049;       ;     ;      ;    ;1.54143059563673E+017;                   ;         ;643418638;19.166035;0.003584;406.01;305.95637478365;38.45213952949
2.1853;305.961970239311;38.4537669614033;305.96201309407;0.3216;38.4537594103;0.3856;2.06112934907973E+018;0.0096;0.4458;7.74;7.551;0.47;-1.699;0.611;0.982;154.51;0.74493;20.214987;0.005916;27.477;4.3633;21.741112;0.172435;188.5;5.0511;19.059645;0.029339;2.681467;       ;     ;      ;    ;1.54143059620505E+017;                   ;         ;         ;20.194242;0.005828;157.49;305.9619702396;38.45376695931
2.1934;305.896678298332;38.4824970024969;305.89665655866;0.3103;38.48247619361;0.3203;2.06113030686104E+018;0.5745;0.4245;6.049;-3.829;0.471;-4.682;0.448;1.089;196.31;1.1215;19.95501;0.006787;42.531;6.5584;21.266777;0.167447;272.04;5.917;18.661331;0.023916;2.605446;       ;     ;      ;    ;1.5417305896665E+017;                   ;         ;         ;19.935539;0.006687;199.86;305.89667829978;38.48249700418
